data,fechamento,abertura,max_$,min_$,var_%
01/03/1995,"0,8500","0,8500","0,8500","0,8450","0,0012"
02/03/1995,"0,8530","0,8500","0,8530","0,8500","0,0035"
03/03/1995,"0,8560","0,8530","0,8580","0,8530","0,0035"
06/03/1995,"0,8790","0,8560","0,8790","0,8560","0,0269"
07/03/1995,"0,8850","0,8790","0,8990","0,8760","0,0068"
08/03/1995,"0,8850","0,8840","0,8910","0,8790","0,0000"
09/03/1995,"0,8870","0,8850","0,8880","0,8840","0,0023"
10/03/1995,"0,8790","0,8860","0,8860","0,8710","-0,0090"
13/03/1995,"0,8790","0,8790","0,8810","0,8780","0,0000"
14/03/1995,"0,8790","0,8790","0,8810","0,8790","0,0000"
15/03/1995,"0,8920","0,8790","0,8920","0,8790","0,0148"
16/03/1995,"0,8910","0,8900","0,9000","0,8880","-0,0011"
17/03/1995,"0,8960","0,8900","0,8960","0,8850","0,0056"
20/03/1995,"0,9090","0,8960","0,9120","0,8910","0,0145"
21/03/1995,"0,9000","0,9090","0,9090","0,8960","-0,0099"
22/03/1995,"0,9060","0,9000","0,9060","0,8970","0,0067"
23/03/1995,"0,9060","0,9020","0,9200","0,9020","0,0000"
24/03/1995,"0,9020","0,9060","0,9090","0,9020","-0,0044"
27/03/1995,"0,9080","0,9060","0,9110","0,9060","0,0067"
28/03/1995,"0,9080","0,9070","0,9110","0,9070","0,0000"
29/03/1995,"0,9070","0,9080","0,9080","0,9030","-0,0011"
30/03/1995,"0,8950","0,9060","0,9060","0,8950","-0,0132"
31/03/1995,"0,8990","0,8950","0,9020","0,8910","0,0045"
03/04/1995,"0,9040","0,8990","0,9060","0,8960","0,0056"
04/04/1995,"0,8950","0,9040","0,9040","0,8950","-0,0100"
05/04/1995,"0,8930","0,8950","0,9020","0,8930","-0,0022"
06/04/1995,"0,8950","0,8920","0,8950","0,8900","0,0022"
07/04/1995,"0,8940","0,8950","0,9010","0,8940","-0,0011"
10/04/1995,"0,8940","0,8940","0,8970","0,8940","0,0000"
11/04/1995,"0,9010","0,8930","0,9020","0,8930","0,0078"
12/04/1995,"0,9080","0,9010","0,9090","0,9010","0,0078"
13/04/1995,"0,9060","0,9060","0,9060","0,9060","-0,0022"
14/04/1995,"0,9060","0,9060","0,9060","0,9060","0,0000"
