Data,Último,Abertura,Máxima,Mínima,Var
01/03/1995,"R$ 0,8500","R$ 0,8500","R$ 0,8500","R$ 0,8450","0,1200%"
02/03/1995,"R$ 0,8530","R$ 0,8500","R$ 0,8530","R$ 0,8500","0,3529%"
03/03/1995,"R$ 0,8560","R$ 0,8530","R$ 0,8580","R$ 0,8530","0,3517%"
06/03/1995,"R$ 0,8790","R$ 0,8560","R$ 0,8790","R$ 0,8560","2,6869%"
07/03/1995,"R$ 0,8850","R$ 0,8790","R$ 0,8990","R$ 0,8760","0,6826%"
08/03/1995,"R$ 0,8850","R$ 0,8840","R$ 0,8910","R$ 0,8790","0,0000%"
09/03/1995,"R$ 0,8870","R$ 0,8850","R$ 0,8880","R$ 0,8840","0,2260%"
10/03/1995,"R$ 0,8790","R$ 0,8860","R$ 0,8860","R$ 0,8710","-0,9019%"
13/03/1995,"R$ 0,8790","R$ 0,8790","R$ 0,8810","R$ 0,8780","0,0000%"
14/03/1995,"R$ 0,8790","R$ 0,8790","R$ 0,8810","R$ 0,8790","0,0000%"
15/03/1995,"R$ 0,8920","R$ 0,8790","R$ 0,8920","R$ 0,8790","1,4790%"
16/03/1995,"R$ 0,8910","R$ 0,8900","R$ 0,9000","R$ 0,8880","-0,1121%"
17/03/1995,"R$ 0,8960","R$ 0,8900","R$ 0,8960","R$ 0,8850","0,5612%"
20/03/1995,"R$ 0,9090","R$ 0,8960","R$ 0,9120","R$ 0,8910","1,4509%"
21/03/1995,"R$ 0,9000","R$ 0,9090","R$ 0,9090","R$ 0,8960","-0,9901%"
22/03/1995,"R$ 0,9060","R$ 0,9000","R$ 0,9060","R$ 0,8970","0,6667%"
23/03/1995,"R$ 0,9060","R$ 0,9020","R$ 0,9200","R$ 0,9020","0,0000%"
24/03/1995,"R$ 0,9020","R$ 0,9060","R$ 0,9090","R$ 0,9020","-0,4415%"
27/03/1995,"R$ 0,9080","R$ 0,9060","R$ 0,9110","R$ 0,9060","0,6652%"
28/03/1995,"R$ 0,9080","R$ 0,9070","R$ 0,9110","R$ 0,9070","0,0000%"
29/03/1995,"R$ 0,9070","R$ 0,9080","R$ 0,9080","R$ 0,9030","-0,1101%"
